Regiao,ADC,Tipo
Brasil,158.0,País
Alemanha,120.0,País
Egito,219.0,País
Brasil,149.0,País
Alemanha,116.0,País
Egito,209.0,País
Brasil,145.0,País
Alemanha,114.0,País
Egito,204.0,País
Brasil,138.0,País
Alemanha,111.0,País
Egito,197.0,País
Brasil,136.0,País
Alemanha,111.0,País
Egito,197.0,País
Brasil,141.0,País
Alemanha,113.0,País
Egito,205.0,País
Brasil,293.0,País
Alemanha,186.0,País
Egito,380.0,País
Brasil,320.0,País
Alemanha,190.0,País
Egito,380.0,País
Brasil,315.0,País
Alemanha,188.0,País
Egito,374.0,País
Brasil,313.0,País
Alemanha,187.0,País
Egito,372.0,País
Brasil,312.0,País
Alemanha,186.0,País
Egito,371.0,País
Brasil,312.0,País
Alemanha,186.0,País
Egito,371.0,País
Brasil,433.0,País
Alemanha,253.0,País
Egito,568.0,País
Brasil,571.0,País
Alemanha,297.0,País
Egito,627.0,País
Brasil,562.0,País
Alemanha,295.0,País
Egito,621.0,País
Brasil,561.0,País
Alemanha,294.0,País
Egito,620.0,País
Brasil,560.0,País
Alemanha,294.0,País
Egito,619.0,País
Brasil,556.0,País
Alemanha,292.0,País
Egito,614.0,País
Brasil,552.0,País
Alemanha,290.0,País
Egito,611.0,País
Brasil,628.0,País
Alemanha,334.0,País
Egito,718.0,País
Brasil,701.0,País
Alemanha,354.0,País
Egito,759.0,País
Brasil,705.0,País
Alemanha,356.0,País
Egito,763.0,País
Brasil,703.0,País
Alemanha,355.0,País
Egito,761.0,País
Brasil,704.0,País
Alemanha,356.0,País
Egito,762.0,País
Brasil,705.0,País
Alemanha,356.0,País
Egito,763.0,País
Brasil,705.0,País
Alemanha,356.0,País
Egito,765.0,País
Brasil,666.0,País
Alemanha,336.0,País
Egito,713.0,País
Brasil,623.0,País
Alemanha,320.0,País
Egito,681.0,País
Brasil,625.0,País
Alemanha,322.0,País
Egito,684.0,País
Brasil,630.0,País
Alemanha,324.0,País
Egito,687.0,País
Brasil,625.0,País
Alemanha,322.0,País
Egito,686.0,País
Brasil,627.0,País
Alemanha,323.0,País
Egito,686.0,País
Brasil,628.0,País
Alemanha,318.0,País
Egito,654.0,País
Brasil,474.0,País
Alemanha,253.0,País
Egito,526.0,País
Brasil,454.0,País
Alemanha,244.0,País
Egito,499.0,País
Brasil,411.0,País
Alemanha,229.0,País
Egito,470.0,País
Brasil,411.0,País
Alemanha,229.0,País
Egito,470.0,País
Brasil,411.0,País
Alemanha,229.0,País
Egito,470.0,País
Brasil,410.0,País
Alemanha,229.0,País
Egito,469.0,País
Brasil,409.0,País
Alemanha,229.0,País
Egito,469.0,País
Brasil,303.0,País
Alemanha,177.0,País
Egito,322.0,País
Brasil,215.0,País
Alemanha,144.0,País
Egito,274.0,País
Brasil,203.0,País
Alemanha,139.0,País
Egito,263.0,País
Brasil,201.0,País
Alemanha,138.0,País
Egito,259.0,País
Brasil,199.0,País
Alemanha,138.0,País
Egito,259.0,País
Brasil,198.0,País
Alemanha,137.0,País
Egito,258.0,País
Bahia,104.0,Estado
Mato grosso,97.0,Estado
Minas Gerais,41.0,Estado
Paraná,205.0,Estado
Bahia,120.0,Estado
Mato grosso,116.0,Estado
Minas Gerais,61.0,Estado
Paraná,213.0,Estado
Bahia,121.0,Estado
Mato grosso,116.0,Estado
Minas Gerais,62.0,Estado
Paraná,215.0,Estado
Bahia,165.0,Estado
Mato grosso,169.0,Estado
Minas Gerais,122.0,Estado
Paraná,247.0,Estado
Bahia,170.0,Estado
Mato grosso,172.0,Estado
Minas Gerais,124.0,Estado
Paraná,248.0,Estado
